id,title,journal-ref,abstract,categories,update_date,authors_parsed,cs_categories
2411.06518,Causal Representation Learning from Multimodal Biological Observations,,"  Prevalent in biological applications (e.g., human phenotype measurements),
multimodal datasets can provide valuable insights into the underlying
biological mechanisms. However, current machine learning models designed to
analyze such datasets still lack interpretability and theoretical guarantees,
which are essential to biological applications. Recent advances in causal
representation learning have shown promise in uncovering the interpretable
latent causal variables with formal theoretical certificates. Unfortunately,
existing works for multimodal distributions either rely on restrictive
parametric assumptions or provide rather coarse identification results,
limiting their applicability to biological research which favors a detailed
understanding of the mechanisms.
  In this work, we aim to develop flexible identification conditions for
multimodal data and principled methods to facilitate the understanding of
biological datasets. Theoretically, we consider a flexible nonparametric latent
distribution (c.f., parametric assumptions in prior work) permitting causal
relationships across potentially different modalities. We establish
identifiability guarantees for each latent component, extending the subspace
identification results from prior work. Our key theoretical ingredient is the
structural sparsity of the causal connections among distinct modalities, which,
as we will discuss, is natural for a large collection of biological systems.
Empirically, we propose a practical framework to instantiate our theoretical
insights. We demonstrate the effectiveness of our approach through extensive
experiments on both numerical and synthetic datasets. Results on a real-world
human phenotype dataset are consistent with established medical research,
validating our theoretical and methodological framework.
",cs.LG q-bio.QM stat.ME,2024-11-12,"[['Sun', 'Yuewen', ''], ['Kong', 'Lingjing', ''], ['Chen', 'Guangyi', ''], ['Li', 'Loka', ''], ['Luo', 'Gongxu', ''], ['Li', 'Zijian', ''], ['Zhang', 'Yixuan', ''], ['Zheng', 'Yujia', ''], ['Yang', 'Mengyue', ''], ['Stojanov', 'Petar', ''], ['Segal', 'Eran', ''], ['Xing', 'Eric P.', ''], ['Zhang', 'Kun', '']]",cs.LG
2311.13171,"ComPEFT: Compression for Communicating Parameter Efficient Updates via
  Sparsification and Quantization",,"  Parameter-efficient fine-tuning (PEFT) techniques make it possible to
efficiently adapt a language model to create ""expert"" models that specialize to
new tasks or domains. Recent techniques in model merging and compositional
generalization leverage these expert models by dynamically composing modules to
improve zero/few-shot generalization. Despite the efficiency of PEFT methods,
the size of expert models can make it onerous to retrieve expert models per
query over high-latency networks like the Internet or serve multiple experts on
a single GPU. To address these issues, we present ComPEFT, a novel method for
compressing fine-tuning residuals (task vectors) of PEFT based models. ComPEFT
employs sparsification and ternary quantization to reduce the size of the PEFT
module without performing any additional retraining while preserving or
enhancing model performance. In extensive evaluation across T5, T0, and
LLaMA-based models with 200M - 65B parameters, ComPEFT achieves compression
ratios of 8x - 50x. In particular, we show that ComPEFT improves with scale -
stronger models exhibit higher compressibility and better performance. For
example, we show that ComPEFT applied to LLaMA outperforms QLoRA by 4.16% on
MMLU with a storage size reduction of up to 26x. In addition, we show that the
compressed experts produced by ComPEFT maintain few-shot compositional
generalization capabilities, facilitate efficient communication and
computation, and exhibit enhanced performance when merged. Lastly, we provide
an analysis of different method components, compare it with other PEFT methods,
and test ComPEFT's efficacy for compressing the residual of full-finetuning.
Our code is available at https://github.com/prateeky2806/compeft.
",cs.LG cs.AI cs.CL,2023-11-23,"[['Yadav', 'Prateek', ''], ['Choshen', 'Leshem', ''], ['Raffel', 'Colin', ''], ['Bansal', 'Mohit', '']]",cs.LG cs.AI cs.CL
2210.11940,"JRDB-Pose: A Large-scale Dataset for Multi-Person Pose Estimation and
  Tracking",,"  Autonomous robotic systems operating in human environments must understand
their surroundings to make accurate and safe decisions. In crowded human scenes
with close-up human-robot interaction and robot navigation, a deep
understanding requires reasoning about human motion and body dynamics over time
with human body pose estimation and tracking. However, existing datasets either
do not provide pose annotations or include scene types unrelated to robotic
applications. Many datasets also lack the diversity of poses and occlusions
found in crowded human scenes. To address this limitation we introduce
JRDB-Pose, a large-scale dataset and benchmark for multi-person pose estimation
and tracking using videos captured from a social navigation robot. The dataset
contains challenge scenes with crowded indoor and outdoor locations and a
diverse range of scales and occlusion types. JRDB-Pose provides human pose
annotations with per-keypoint occlusion labels and track IDs consistent across
the scene. A public evaluation server is made available for fair evaluation on
a held-out test set. JRDB-Pose is available at https://jrdb.erc.monash.edu/ .
",cs.CV cs.RO,2023-03-14,"[['Vendrow', 'Edward', ''], ['Le', 'Duy Tho', ''], ['Cai', 'Jianfei', ''], ['Rezatofighi', 'Hamid', '']]",cs.CV cs.RO
2107.11787,"Leveraging Auxiliary Tasks with Affinity Learning for Weakly Supervised
  Semantic Segmentation",,"  Semantic segmentation is a challenging task in the absence of densely
labelled data. Only relying on class activation maps (CAM) with image-level
labels provides deficient segmentation supervision. Prior works thus consider
pre-trained models to produce coarse saliency maps to guide the generation of
pseudo segmentation labels. However, the commonly used off-line heuristic
generation process cannot fully exploit the benefits of these coarse saliency
maps. Motivated by the significant inter-task correlation, we propose a novel
weakly supervised multi-task framework termed as AuxSegNet, to leverage
saliency detection and multi-label image classification as auxiliary tasks to
improve the primary task of semantic segmentation using only image-level
ground-truth labels. Inspired by their similar structured semantics, we also
propose to learn a cross-task global pixel-level affinity map from the saliency
and segmentation representations. The learned cross-task affinity can be used
to refine saliency predictions and propagate CAM maps to provide improved
pseudo labels for both tasks. The mutual boost between pseudo label updating
and cross-task affinity learning enables iterative improvements on segmentation
performance. Extensive experiments demonstrate the effectiveness of the
proposed auxiliary learning network structure and the cross-task affinity
learning method. The proposed approach achieves state-of-the-art weakly
supervised segmentation performance on the challenging PASCAL VOC 2012 and MS
COCO benchmarks.
",cs.CV,2021-07-28,"[['Xu', 'Lian', ''], ['Ouyang', 'Wanli', ''], ['Bennamoun', 'Mohammed', ''], ['Boussaid', 'Farid', ''], ['Sohel', 'Ferdous', ''], ['Xu', 'Dan', '']]",cs.CV
2409.11382,"A lattice Boltzmann method for Biot's consolidation model of linear
  poroelasticity",,"  Biot's consolidation model is a classical model for the evolution of
deformable porous media saturated by a fluid and has various interdisciplinary
applications. While numerical solution methods to solve poroelasticity by
typical schemes such as finite differences, finite volumes or finite elements
have been intensely studied, lattice Boltzmann methods for poroelasticity have
not been developed yet. In this work, we propose a novel semi-implicit coupling
of lattice Boltzmann methods to solve Biot's consolidation model in two
dimensions. To this end, we use a single-relaxation-time lattice Boltzmann
method for reaction-diffusion equations to solve the Darcy flow and combine it
with a recent pseudo-time multi-relaxation-time lattice Boltzmann scheme for
quasi-static linear elasticity by Boolakee, Geier and De Lorenzis (2023, DOI:
10.1016/j.cma.2022.115756). The numerical results demonstrate that naive
coupling schemes lead to instabilities when the poroelastic system is strongly
coupled. However, the newly developed centered coupling scheme using fully
explicit and semi-implicit contributions is stable and accurate in all
considered cases, even for the Biot--Willis coefficient being one. Furthermore,
the numerical results for Terzaghi's consolidation problem and a
two-dimensional extension thereof highlight that the scheme is even able to
capture discontinuous solutions arising from instantaneous loading.
",math.NA cs.NA physics.flu-dyn,2024-09-18,"[['Lunowa', 'Stephan B.', ''], ['Wohlmuth', 'Barbara', '']]",cs.NA
2307.06283,Tackling Computational Heterogeneity in FL: A Few Theoretical Insights,,"  The future of machine learning lies in moving data collection along with
training to the edge. Federated Learning, for short FL, has been recently
proposed to achieve this goal. The principle of this approach is to aggregate
models learned over a large number of distributed clients, i.e.,
resource-constrained mobile devices that collect data from their environment,
to obtain a new more general model. The latter is subsequently redistributed to
clients for further training. A key feature that distinguishes federated
learning from data-center-based distributed training is the inherent
heterogeneity. In this work, we introduce and analyse a novel aggregation
framework that allows for formalizing and tackling computational heterogeneity
in federated optimization, in terms of both heterogeneous data and local
updates. Proposed aggregation algorithms are extensively analyzed from a
theoretical, and an experimental prospective.
",cs.LG cs.DC,2023-07-13,"[['Mansour', 'Adnan Ben', ''], ['Carenini', 'Gaia', ''], ['Duplessis', 'Alexandre', '']]",cs.LG cs.DC
2412.10953,Optimizing AI-Assisted Code Generation,,"  In recent years, the rise of AI-assisted code-generation tools has
significantly transformed software development. While code generators have
mainly been used to support conventional software development, their use will
be extended to powerful and secure AI systems. Systems capable of generating
code, such as ChatGPT, OpenAI Codex, GitHub Copilot, and AlphaCode, take
advantage of advances in machine learning (ML) and natural language processing
(NLP) enabled by large language models (LLMs). However, it must be borne in
mind that these models work probabilistically, which means that although they
can generate complex code from natural language input, there is no guarantee
for the functionality and security of the generated code.
  However, to fully exploit the considerable potential of this technology, the
security, reliability, functionality, and quality of the generated code must be
guaranteed. This paper examines the implementation of these goals to date and
explores strategies to optimize them. In addition, we explore how these systems
can be optimized to create safe, high-performance, and executable artificial
intelligence (AI) models, and consider how to improve their accessibility to
make AI development more inclusive and equitable.
",cs.SE cs.AI cs.LG,2024-12-17,"[['Torka', 'Simon', ''], ['Albayrak', 'Sahin', '']]",cs.SE cs.AI cs.LG
2102.11491,Data Driven Testing of Cyber Physical Systems,,"  Consumer grade cyber-physical systems (CPS) are becoming an integral part of
our life, automatizing and simplifying everyday tasks. Indeed, due to complex
interactions between hardware, networking and software, developing and testing
such systems is known to be a challenging task. Various quality assurance and
testing strategies have been proposed. The most common approach for
pre-deployment testing is to model the system and run simulations with models
or software in the loop. In practice, most often, tests are run for a small
number of simulations, which are selected based on the engineers' domain
knowledge and experience. In this paper we propose an approach to automatically
generate fault-revealing test cases for CPS. We have implemented our approach
in Python, using standard frameworks and used it to generate scenarios
violating temperature constraints for a smart thermostat implemented as a part
of our IoT testbed. Data collected from an application managing a smart
building have been used to learn models of the environment under ever changing
conditions. The suggested approach allowed us to identify several pit-fails,
scenarios (i.e., environment conditions and inputs), where the system behaves
not as expected.
",cs.CR cs.NE,2021-03-24,"[['Humeniuk', 'Dmytro', ''], ['Antoniol', 'Giuliano', ''], ['Khomh', 'Foutse', '']]",cs.CR cs.NE
2111.02296,On polynomially many queries to NP or QMA oracles,"Proceedings of 13th Innovations in Theoretical Computer Science
  Conference (ITCS 2022), 75:1--75:27, 2022","  We study the complexity of problems solvable in deterministic polynomial time
with access to an NP or Quantum Merlin-Arthur (QMA)-oracle, such as $P^{NP}$
and $P^{QMA}$, respectively. The former allows one to classify problems more
finely than the Polynomial-Time Hierarchy (PH), whereas the latter
characterizes physically motivated problems such as Approximate Simulation
(APX-SIM) [Ambainis, CCC 2014]. In this area, a central role has been played by
the classes $P^{NP[\log]}$ and $P^{QMA[\log]}$, defined identically to $P^{NP}$
and $P^{QMA}$, except that only logarithmically many oracle queries are
allowed. Here, [Gottlob, FOCS 1993] showed that if the adaptive queries made by
a $P^{NP}$ machine have a ""query graph"" which is a tree, then this computation
can be simulated in $P^{NP[\log]}$.
  In this work, we first show that for any verification class
$C\in\{NP,MA,QCMA,QMA,QMA(2),NEXP,QMA_{\exp}\}$, any $P^C$ machine with a query
graph of ""separator number"" $s$ can be simulated using deterministic time
$\exp(s\log n)$ and $s\log n$ queries to a $C$-oracle. When $s\in O(1)$ (which
includes the case of $O(1)$-treewidth, and thus also of trees), this gives an
upper bound of $P^{C[\log]}$, and when $s\in O(\log^k(n))$, this yields bound
$QP^{C[\log^{k+1}]}$ (QP meaning quasi-polynomial time). We next show how to
combine Gottlob's ""admissible-weighting function"" framework with the
""flag-qubit"" framework of [Watson, Bausch, Gharibian, 2020], obtaining a
unified approach for embedding $P^C$ computations directly into APX-SIM
instances in a black-box fashion. Finally, we formalize a simple no-go
statement about polynomials (c.f. [Krentel, STOC 1986]): Given a multi-linear
polynomial $p$ specified via an arithmetic circuit, if one can ""weakly
compress"" $p$ so that its optimal value requires $m$ bits to represent, then
$P^{NP}$ can be decided with only $m$ queries to an NP-oracle.
",cs.CC quant-ph,2022-10-18,"[['Gharibian', 'Sevag', ''], ['Rudolph', 'Dorian', '']]",cs.CC
2409.02128,"The Application of Artificial Neural Network Model to Predicting the
  Acid Mine Drainage from Long-Term Lab Scale Kinetic Test",E3S Web of Conf. 485(2024),"  Acid mine drainage (AMD) is one of the common environmental problems in the
coal mining industry that was formed by the oxidation of sulfide minerals in
the overburden or waste rock. The prediction of acid generation through AMD is
important to do in overburden management and planning the post-mining land use.
One of the methods used to predict AMD is a lab-scale kinetic test to determine
the rate of acid formation over time using representative samples in the field.
However, this test requires a long-time procedure and large amount of chemical
reagents lead to inefficient cost. On the other hand, there is potential for
machine learning to learn the pattern behind the lab-scale kinetic test data.
This study describes an approach to use artificial neural network (ANN)
modeling to predict the result from lab-scale kinetic tests. Various ANN model
is used based on 83 weeks experiments of lab-scale kinetic tests with 100\%
potential acid-forming rock. The model approaches the monitoring of pH, ORP,
conductivity, TDS, sulfate, and heavy metals (Fe and Mn). The overall
Nash-Sutcliffe Efficiency (NSE) obtained in this study was 0.99 on training and
validation data, indicating a strong correlation and accurate prediction
compared to the actual lab-scale kinetic tests data. This show the ANN ability
to learn patterns, trends, and seasonality from past data for accurate
forecasting, thereby highlighting its significant contribution to solving AMD
problems. This research is also expected to establish the foundation for a new
approach to predict AMD, with time efficient, accurate, and cost-effectiveness
in future applications.
",cs.LG cs.AI,2024-09-05,"[['Abfertiawan', 'Muhammad Sonny', ''], ['Kautsar', 'Muchammad Daniyal', ''], ['Hasan', 'Faiz', ''], ['Palinggi', 'Yoseph', ''], ['Pranoto', 'Kris', '']]",cs.LG cs.AI
2206.13737,"Adversarial Consistency for Single Domain Generalization in Medical
  Image Segmentation",,"  An organ segmentation method that can generalize to unseen contrasts and
scanner settings can significantly reduce the need for retraining of deep
learning models. Domain Generalization (DG) aims to achieve this goal. However,
most DG methods for segmentation require training data from multiple domains
during training. We propose a novel adversarial domain generalization method
for organ segmentation trained on data from a \emph{single} domain. We
synthesize the new domains via learning an adversarial domain synthesizer (ADS)
and presume that the synthetic domains cover a large enough area of plausible
distributions so that unseen domains can be interpolated from synthetic
domains. We propose a mutual information regularizer to enforce the semantic
consistency between images from the synthetic domains, which can be estimated
by patch-level contrastive learning. We evaluate our method for various organ
segmentation for unseen modalities, scanning protocols, and scanner sites.
",cs.CV,2022-07-01,"[['Xu', 'Yanwu', ''], ['Xie', 'Shaoan', ''], ['Reynolds', 'Maxwell', ''], ['Ragoza', 'Matthew', ''], ['Gong', 'Mingming', ''], ['Batmanghelich', 'Kayhan', '']]",cs.CV
1709.02877,Variable Annealing Length and Parallelism in Simulated Annealing,"Proceedings of the Tenth International Symposium on Combinatorial
  Search (SoCS 2017), pages 2-10. AAAI Press, June 2017","  In this paper, we propose: (a) a restart schedule for an adaptive simulated
annealer, and (b) parallel simulated annealing, with an adaptive and
parameter-free annealing schedule. The foundation of our approach is the
Modified Lam annealing schedule, which adaptively controls the temperature
parameter to track a theoretically ideal rate of acceptance of neighboring
states. A sequential implementation of Modified Lam simulated annealing is
almost parameter-free. However, it requires prior knowledge of the annealing
length. We eliminate this parameter using restarts, with an exponentially
increasing schedule of annealing lengths. We then extend this restart schedule
to parallel implementation, executing several Modified Lam simulated annealers
in parallel, with varying initial annealing lengths, and our proposed parallel
annealing length schedule. To validate our approach, we conduct experiments on
an NP-Hard scheduling problem with sequence-dependent setup constraints. We
compare our approach to fixed length restarts, both sequentially and in
parallel. Our results show that our approach can achieve substantial
performance gains, throughout the course of the run, demonstrating our approach
to be an effective anytime algorithm.
",cs.NE cs.AI cs.DC,2023-11-10,"[['Cicirello', 'Vincent A.', '']]",cs.NE cs.AI cs.DC
2403.16387,"Text-IF: Leveraging Semantic Text Guidance for Degradation-Aware and
  Interactive Image Fusion",,"  Image fusion aims to combine information from different source images to
create a comprehensively representative image. Existing fusion methods are
typically helpless in dealing with degradations in low-quality source images
and non-interactive to multiple subjective and objective needs. To solve them,
we introduce a novel approach that leverages semantic text guidance image
fusion model for degradation-aware and interactive image fusion task, termed as
Text-IF. It innovatively extends the classical image fusion to the text guided
image fusion along with the ability to harmoniously address the degradation and
interaction issues during fusion. Through the text semantic encoder and
semantic interaction fusion decoder, Text-IF is accessible to the all-in-one
infrared and visible image degradation-aware processing and the interactive
flexible fusion outcomes. In this way, Text-IF achieves not only multi-modal
image fusion, but also multi-modal information fusion. Extensive experiments
prove that our proposed text guided image fusion strategy has obvious
advantages over SOTA methods in the image fusion performance and degradation
treatment. The code is available at https://github.com/XunpengYi/Text-IF.
",cs.CV,2024-03-26,"[['Yi', 'Xunpeng', ''], ['Xu', 'Han', ''], ['Zhang', 'Hao', ''], ['Tang', 'Linfeng', ''], ['Ma', 'Jiayi', '']]",cs.CV
